Description,ANGLE OF ATTACK - ALPHA (AOA),ANGLE OF SIDESLIP - BETHA (SDSLIP),1P STICK ROLL POSITION (POSAILECMD),LH AILERON DEFLECTION (POSAILLH),RH AILERON DEFLECTION (POSAILRH),ELEVATOR DEFLECTION (POSELEV),1P STICK PITCH POSITION (POSELEVCMD),RUDDER DEFLECTION (POSRUDD),1P PEDAL POSITION (POSRUDDCMD),LH FLAP DEFLECTION (FLAPLH),RH FLAP DEFLECTION (FLAPRH),ELEVATOR LONGITUDINAL FORCE STRAIN GAGE,AILERON LATERAL FORCE STRAIN GAGE,PITCH TRIM,ROLL TRIM,RUDDER TRIM
EU,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,kg,kg,deg,deg,deg
198:09:40:07.200,30.77863312,-30,-0.311278194,-2.273015976,1.635672331,-19.31354332,15.10088539,-1.904382467,0.141927078,15.22512627,15.27788734,0.187017545,0.301950365,-0.238222435,-0.177837074,2.74290061
198:09:40:07.300,30.77863312,-30,-0.311278194,-2.302645445,1.641202927,-19.38033485,15.20707989,-2.653386354,0.41796875,15.22512627,15.27641296,0.214385971,0.327304959,-0.239096642,-0.175790966,2.741402149
198:09:40:07.400,30.77863312,-30,-0.311278194,-2.281481504,1.634289622,-19.18738365,15.05604744,-2.480079651,0.408854157,15.22512627,15.27493858,0.198421046,0.301950365,-0.236911118,-0.181929275,2.729413271
198:09:40:07.500,30.77863312,-30,-0.311278194,-2.346384525,1.639820218,-19.10204124,15.00884914,-2.513944149,0.4140625,15.22512627,15.27641296,0.257719308,0.31117022,-0.239096642,-0.177837074,2.73990345
198:09:40:07.600,30.77636909,-30,-0.311278194,-2.299823523,1.634289622,-18.88682747,14.8412981,-2.501991987,0.44921875,15.22512627,15.27493858,0.212105259,0.313475192,-0.240407959,-0.177837074,2.741402149
198:09:40:07.700,30.77410507,-30,-0.311278194,-2.301234484,1.627376437,-18.96846008,14.96873188,-2.521912336,0.467447907,15.22512627,15.27493858,0.291929811,0.324999988,-0.240407959,-0.175790966,2.73990345
198:09:40:07.800,30.77184296,-30,-0.311278194,-2.35061717,1.639820218,-18.63265228,14.737463,-2.565737009,0.477864593,15.22512627,15.27788734,0.155087724,0.334219873,-0.240845069,-0.175790966,2.74290061
198:09:40:07.900,30.77410507,-30,-0.311278194,-2.322398663,1.619080544,-18.87940598,14.86961651,-2.731075764,0.518229187,15.22512627,15.27641296,0.298771918,0.341134757,-0.235599801,-0.181929275,2.73390913
198:09:40:08.000,30.77410507,-30,-0.30225563,-2.306878328,1.613549948,-18.77551079,14.77286148,-3.569721222,0.846354187,15.22512627,15.27641296,0.173333332,0.334219873,-0.24128218,-0.177837074,2.729413271
198:09:40:08.100,30.77410507,-30,-0.30225563,-2.301234484,1.634289622,-18.77179909,14.82477856,-3.737051725,0.915364563,15.22512627,15.27493858,0.244035095,0.31117022,-0.236911118,-0.183975369,2.73091197
